;dia_semana;horario;uf;br;km;municipio;classificacao_acidente;sentido_via;condicao_metereologica;tipo_pista;uso_solo;latitude;longitude;ponte;declive;desvio_temporario;aclive;rotatoria;viaduto;curva;em_obras;reta;retorno_regulamentado;tunel;intersecao_de_vias;pista_molhada;ano;mes;dia;feriado;turno;vel_max;vel_min;latitude_radar;longitude_radar;altimetria_ponto;altimetria_antes;altimetria_depois;distancia_radar;proba_fatal;proba_leve;proba_feridos
484063;0.3333333333333333;0.5530249110320286;MG;40.0;0.3687800963081862;0.9008219178082191;1;0.0;0.6000000000000001;0.0;0.0;-19.388919;-44.335457;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;0.6666666666666666;0.46875;1.0;1.0;1.0;0.6374797269036052;0.0;0.5525170913610938;0.5450590428837787;0.5612373737373737;0.9750452782309855;0.023376476;0.22727357;0.74934995
452602;0.0;0.014234875444839859;MG;40.0;0.22231139646869985;0.9468493150684931;1;0.5;0.2;1.0;1.0;-18.21264695;-45.22480595;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.26666666666666666;0.03125;0.0;0.8571428571428572;1.0;0.6374797269036052;0.0;0.4089496581727781;0.4089496581727781;0.41729797979797983;0.9750452782309855;0.10070766;0.20621362;0.6930787
474345;0.6666666666666666;0.11387900355871887;MG;40.0;0.41613162118780095;0.7534246575342465;1;0.5;0.6000000000000001;0.0;1.0;-19.83957589;-44.07684485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.06666666666666668;0.5078125;0.0;0.7142857142857142;0.6666666666666667;0.6374797269036052;0.0;0.5910503418272218;0.5866998135487881;0.6003787878787878;0.9750452782309855;0.09310559;0.438057;0.46883744
435095;0.3333333333333333;0.26263345195729537;MG;40.0;0.4204654895666131;0.25095890410958904;1;0.0;0.2;0.0;1.0;-19.87512499;-44.05400634;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.16666666666666669;0.4921875;0.3333333333333333;1.0;1.0;0.6374797269036052;0.0;0.5239279055313859;0.5239279055313859;0.5353535353535354;0.9750452782309855;0.028662391;0.23719266;0.7341449
450891;0.6666666666666666;0.24697508896797155;MG;40.0;0.563884430176565;0.08493150684931507;1;0.0;0.2;0.0;0.0;-21.20614546;-43.7493307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454545;0.9666666666666667;0.96875;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.6973275326289621;0.7122436295835922;0.7083333333333334;0.9750452782309855;0.08153216;0.23728076;0.68118703
466976;1.0;0.25409252669039145;MG;40.0;0.06902086677367576;0.644931506849315;1;0.5;0.2;1.0;0.0;-17.48684082;-46.6107509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6363636363636364;0.9333333333333333;0.4296875;0.3333333333333333;0.5714285714285714;0.6666666666666667;0.6374797269036052;0.0;0.34866376631448104;0.34866376631448104;0.3541666666666667;0.9750452782309855;0.09226925;0.38637388;0.5213568
447870;0.16666666666666666;0.23629893238434166;MG;40.0;0.6449438202247191;0.5506849315068493;1;0.0;0.6000000000000001;0.0;0.0;-21.85782703;-43.37661004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454545;0.43333333333333335;0.84375;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.41143567433188316;0.41454319453076444;0.417929292929293;0.9750452782309855;0.06387752;0.45714194;0.4789805
475152;1.0;0.3323843416370107;MG;40.0;0.426083467094703;0.25095890410958904;1;0.0;0.2;0.0;1.0;-19.92009885;-44.03832078;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.2;0.5390625;0.3333333333333333;0.0;0.0;0.6374797269036052;0.0;0.5686761963952766;0.5829707893101305;0.5776515151515151;0.9750452782309855;0.051808123;0.34382382;0.60436803
477420;0.0;0.059074733096085415;MG;40.0;0.4534510433386838;0.6054794520547945;1;0.5;0.2;1.0;0.0;-20.16985101;-43.96554788;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9090909090909091;0.6;0.53125;0.0;0.8571428571428572;1.0;0.6374797269036052;0.0;0.8272218769422001;0.8272218769422001;0.8402777777777778;0.9750452782309855;0.13565122;0.24519902;0.6191498
480916;0.3333333333333333;0.09608540925266905;MG;40.0;0.42327447833065807;0.25095890410958904;1;0.5;0.2;0.0;1.0;-19.90149502;-44.04938939;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9999999999999999;0.2;0.359375;0.0;1.0;1.0;0.6374797269036052;0.0;0.5419515226848974;0.5450590428837787;0.5505050505050505;0.9750452782309855;0.06994625;0.27291122;0.6571426
